Feature	Importance
Wrd_per_let	0.11111671582197971
Let_per_wrd_corr	0.09727688430100458
Let_per_wrd	0.08390684037178767
Wrd_per_let_zn	0.07574878301299245
Props_dz_tot	0.07552387554053902
Let_per_wrd_zn	0.0702497622598743
Wrd_per_dz	0.0380269544398539
AL_gem	0.03774813119056557
Let_per_wrd_nw_corr	0.023711207205766128
AL_max	0.022216293859753468
Zin_per_wrd	0.02010028188186759
Wrd_per_morf	0.01734891324034554
Wrd_per_zin	0.016822564441059725
Dzin_per_wrd	0.016381424663699268
Wrd_per_nwg	0.015713485147183258
Morf_per_wrd	0.014619279109783863
Let_per_wrd_nw	0.014589418533424481
Bijv_bep_dz	0.013035604143955644
Let_per_wrd_nsam	0.012560104071802579
Wrd_per_morf_zn	0.01106754721232531
AL_sub_ww	0.00870777060277075
Bijzin_per_zin	0.0055391788092826865
Word_per_doc	0.005439912798616702
Fin_bijzin_per_zin	0.005413227409964435
Bijw_bep_dz	0.00486630244482363
Conc_nw_strikt_p	0.004515989293375454
Conc_tot_d	0.004515205320788012
Pv_bijzin_per_zin	0.003816599777302397
Conc_tot_p	0.003729889485011388
Morf_per_wrd_zn	0.003604746683247813
MTLD_inhwrd	0.0034934729927223558
Pv_Frog_d	0.0033824111301159225
Hzin_conj	0.0029985258181591096
Bijv_bep_dz_zbijzin	0.0029107204581583323
MTLD_inhwrd_zonder_abw	0.002909829986402765
Bijw_bijzin_per_zin	0.0028012942773063005
Tijd_nw_p	0.0026751415752278734
Bijw_bep_dz_zbijzin	0.0026321831637266093
Ov_bijv_bep_dz	0.0025441806727844584
MTLD_lem	0.002469527876869155
TTR_inhwrd_zonder_abw	0.0023223633905135113
Ww_tt_p	0.0023195498637127434
Conn_reeks_wg_dz	0.0021296486502718776
Pv_Alpino_per_zin	0.00209499060476871
Conc_nw_strikt_d	0.002087657464670756
Wrd_prev_z	0.00207090982223225
Dekking_inhwrd_prev	0.00201474936320385
Lem_over_vzin_dz	0.0020011413013027047
Alg_ww_afz_sit_d	0.001966846152762301
Gebeuren_conc_nw_d	0.0019657298707309707
Tijd_MTLD	0.0018700064618158002
Tijd_d	0.0018433008987641297
Infin_vrij_dz	0.0018038757026047148
TTR_inhwrd	0.001800084503561523
Inhwrd_dz	0.001655683662990155
Alg_nw_p	0.0016450595399428983
Form_ww_d	0.0015951401721969233
Int_ww_d	0.001589920006317168
Bijw_bep_d	0.0015172368206610484
Inhwrd_prev	0.0014954683692039827
Conn_MTLD	0.0014899012111912013
Lem_over_vzin_d	0.0014835522796112061
Infin_vrij_d	0.0014744761351609813
Abstr_ww_p	0.0014694662896914264
MTLD_wrd	0.0014662244128083206
Inhwrd_dz_zonder_abw	0.0014582287099277342
Inhwrd_prev_z	0.001455598377362374
Tw_d	0.0014445907911373069
Arg_over_buf_dz	0.0013860412906845899
Pv_Frog_per_zin	0.0013421116126502012
Conn_d	0.001316821151334201
Conc_nw_ruim_p	0.0012870840820477553
Lem_over_buf_dz	0.0012731418583967868
Ontk_tot_d	0.0012341069606293365
Freq1000_nw_corr	0.0012083897194153986
Ww_tt_dz	0.0012082827668202587
Actieww_p	0.0011781712668008481
Conc_nw_ruim_d	0.0011772534176110211
Bijv_bep_d	0.0011720076261897295
Betr_bijzin_per_zin	0.0011483408023488372
Huww_tijd_d	0.001145671498622735
Conn_temp_MTLD	0.0011365908573554829
Alg_bijw_d	0.0011333208435168446
Pers_nw_d	0.001129108278676605
Conn_caus_d	0.0010762524842594368
Conn_dz	0.0010611887479280502
Pers_ref_d	0.0010456025769439927
Ontk_zin_d	0.0010095811910046952
KConj_dz	0.0009986397201064074
Arg_over_vzin_dz	0.000979189535131071
Form_d_z_vnw	0.0009709302823556961
Nom_d	0.0009640740951449986
Alg_ww_afz_sit_p	0.000957408336765257
Wrd_prev	0.000946983402829781
Form_d	0.0009436458751588545
Ov_abstr_bvnw_d	0.0009304795368927857
Spec_bijw_d	0.0009301324606993366
Conn_reeks_wg_d	0.0009272752187856948
Alg_ww_d	0.000908648159938783
Conn_temp_d	0.0009064884708439069
Gebr_vw_nw_p	0.0008730617411716725
Int_bvnw_d	0.0008728768257437776
Alg_ww_rel_sit_p	0.0008722872966445413
Conn_caus_MTLD	0.0008684402744466575
Ov_abstr_nw_p	0.0008438496442463545
Int_bw_d	0.0008381187228168017
Vg_d	0.0008256717675125382
Bijw_bep_alg_d	0.0007760714633029968
Bijw_d	0.000775120607038714
Huww_tijd_dz	0.0007740931779372883
Gedekte_nw_p	0.0007715981587398703
Vnw_ref_d	0.0007682017666576171
Ontk_zin_dz	0.0007498865038682344
Lem_over_buf_d	0.0007281916682307035
Compl_bijzin_per_zin	0.0007274265936281606
Interp_d	0.0007204762569903657
Wrd_freq_log_nw	0.0007044336483388288
Extra_KConj_dz	0.0006850921729393126
Tijd_bvnw_d	0.0006815374156356127
Freq5000_nsam_nw	0.000679323327591376
Concr_ov_nw_d	0.0006715880360952678
Alg_nw_rel_sit_p	0.0006657639703247591
Freq80_Staph	0.0006583527620462543
Vnw_ref_dz	0.0006545335374024106
Spec_negatief_bvnw_d	0.0006520631668755025
Freq1000	0.0006398364032669378
Pers_nw_p	0.0006345936800570061
Attr_bijv_nw_d	0.0006285742994776186
Freq1000_nsam_nw	0.0006213515439386498
Freq20000_nw_corr	0.0006150238800720094
Plaats_nw_d	0.0006027631941879488
Freq10000_inhwrd_zonder_abw	0.0005970231569743488
Vd_vrij_dz	0.0005936860052590174
Conn_caus_dz	0.0005909519991625054
Freq1000_nw	0.0005882644358823614
