Feature	Importance
Props_dz_tot	0.17348990573586728
AL_gem	0.15542666381891432
Let_per_wrd	0.07700356957337794
Wrd_per_dz	0.0715384751124291
Wrd_per_let	0.06371507248248683
Let_per_wrd_corr	0.056163999096656335
Let_per_wrd_zn	0.0391780405121213
Wrd_per_let_zn	0.03768232519559772
Bijv_bep_dz	0.028162158804394752
AL_max	0.026780428813314824
Wrd_per_zin	0.02148289302267297
Wrd_per_nwg	0.02100213108400711
Let_per_wrd_nw	0.019245931512632347
AL_sub_ww	0.016213564584918946
Dzin_per_wrd	0.013834155937178233
Morf_per_wrd_zn	0.013809425528616803
Vg_d	0.010224487160379329
Let_per_wrd_nw_corr	0.010181233823962904
Hzin_conj	0.00942295178502428
Lem_freq_log_zonder_abw	0.009095499167308648
Inhwrd_dz_zonder_abw	0.006353320020221443
Interp_d	0.006009827213530027
MTLD_inhwrd_zonder_abw	0.005815214340173462
Bijw_d	0.005604190236435273
Conc_nw_strikt_p	0.0054123205378714696
Undefined_ATP_ww_p	0.0048531826142312025
Abstr_ww_p	0.004543928963275702
Bijv_bep_d	0.004458800186014036
TTR_inhwrd_zonder_abw	0.004291724776380808
Tijd_MTLD	0.004078906500949916
Ww_tt_p	0.004021484449772817
Bijzin_per_zin	0.003964412264308124
Pv_Alpino_per_zin	0.003633491292076088
Freq20000_inhwrd_zonder_abw	0.0031640390693678994
Tw_d	0.0029413069266250084
Let_per_wrd_nsam	0.0029070168543875786
Alg_bijw_d	0.002814198795318127
TTR_lem	0.002545285938763232
Conn_reeks_wg_d	0.0023503524255424515
Ov_bijv_bep_dz	0.0023454426563062785
Extra_KConj_dz	0.002269962056884385
MTLD_inhwrd	0.0022013171065561597
Word_per_doc	0.0022008236669042378
Wrd_prev_z	0.0021235939763777577
Conn_d	0.002073778123623004
Bvnw_d	0.00207188112754695
Nom_d	0.002046951995274646
MTLD_lem	0.0019506389802334892
Freq1000_nw_corr	0.0019181377573834746
Tijd_nw_p	0.0019029170215362852
Undefined_ww_p	0.0018468454546359155
Lem_over_vzin_dz	0.001841022723094012
Betr_bijzin_per_zin	0.001702329011569249
Concr_ov_nw_d	0.0014814485456438639
Gebr_vw_nw_d	0.0014802696427128712
Tijd_bvnw_d	0.001439545071557776
Inhwrd_d	0.0013816839794832149
Pers_vnw3_d	0.0012762220819197197
Bijw_bijzin_per_zin	0.0011478720052151452
Toestww_d	0.0010812196776607708
Bijw_bep_d	0.0010492114887689918
Inhwrd_dz	0.0010319055935869485
Samenst_d	0.0008911258936364795
Conc_tot_p	0.0007991885750263996
TTR_wrd	0.0007853558987554072
Ontk_zin_d	0.000614585881504211
Pv_ww1_per_zin	0.0005967230717129417
Ov_abstr_nw_p	0.0005507621929133597
Alg_positief_bvnw_d	0.0005414959519591887
Attr_bijv_nw_dz	0.0005256955759181686
Arg_over_vzin_d	0.00043233122517008455
Conn_caus_d	0.00042751637281051365
Freq2000_inhwrd_zonder_abw	0.0002979985781285265
Alg_ww_rel_sit_d	0.00025628488088307147
