Feature	Importance
AL_gem	0.38349602082219936
Props_dz_tot	0.12834063904513418
Let_per_wrd_corr	0.08567843848370162
Let_per_wrd	0.0733975754046796
Wrd_per_let	0.0507926730215185
Wrd_per_nwg	0.04720581604401266
Let_per_wrd_zn	0.024372545711977014
Wrd_per_dz	0.02169960417428901
Vg_d	0.01686536575131611
Pv_Alpino_per_zin	0.014916961091417102
Bijw_d	0.014733504721777252
Bijzin_per_zin	0.01446491301969206
Lem_freq_log_zonder_abw	0.012627056191991323
Pers_ref_d	0.01155969961404964
TTR_inhwrd_zonder_abw	0.010948206549869065
Conc_tot_d	0.009695834351713166
Wrd_freq_log_zonder_abw	0.009553045448752467
Interp_d	0.008958981237979658
Bijw_bep_dz_zbijzin	0.008678636172988698
Bvnw_d	0.008637728613333237
Alg_bijw_d	0.008370467510529838
Dzin_per_wrd	0.007824721732795832
MTLD_inhwrd	0.007751726242553525
Abstr_ww_d	0.006405855784139604
Bijw_bep_d	0.005852612592646823
Bijv_bep_dz_zbijzin	0.004556073301471414
Conn_d	0.0026152973634713528
