Feature	Importance
AL_gem	0.04489736859422887
Let_per_wrd_corr	0.03368669661784859
Props_dz_tot	0.03293866644862394
Conc_nw_strikt_p	0.026825228323041315
Let_per_wrd	0.02662084881347447
Wrd_per_nwg	0.022961236017015236
Ww_tt_p	0.01942946092420106
Nom_d	0.019189482750356958
Wrd_per_let	0.01839727560772706
Interp_d	0.018186469423783234
AL_max	0.017273686592490865
Bijv_bep_dz	0.01703675532155125
Undefined_nw_p	0.016721094437109226
Wrd_per_zin	0.016469118995162357
Dzin_per_wrd	0.016062623323075075
Wrd_per_let_zn	0.015955285851588598
Let_per_wrd_nw	0.01521367849633233
Tijd_nw_p	0.015092808195363492
MTLD_inhwrd_zonder_abw	0.014826706974515998
Let_per_wrd_zn	0.01475501059865718
AL_sub_ww	0.013624134914610854
Samenst_d	0.01294009836799937
Vd_vrij_dz	0.012500002794483815
Subj_bvnw_d	0.011200742905573078
Inhwrd_dz	0.011151141550444221
Conc_nw_ruim_p	0.011021168318241965
MTLD_wrd	0.010932086556329336
Organisatie_nw_p	0.01066264664555153
Bijv_bep_dz_zbijzin	0.010590804247460976
Toestww_d	0.010490978441662295
Ov_abstr_bvnw_d	0.010102108060740397
Pv_Alpino_per_zin	0.010089806301524232
Word_per_doc	0.009805711202583904
Conn_reeks_zin_dz	0.009593645894136096
Let_per_wrd_nw_corr	0.008811375651084889
Huww_tijd_dz	0.008700350947102429
Bijw_d	0.008683561391258738
Int_bvnw_d	0.008398595758217258
Freq20000_corr	0.008168885593603641
Arg_over_buf_d	0.008034726873137842
Ww_d	0.00787313401935873
Tijd_d	0.007701903375846914
Conn_reeks_zin_d	0.00763716840728066
Freq1000_nw	0.00727319247378112
Attr_bijv_nw_dz	0.007271067486733766
TTR_wrd	0.006571906314829221
Abstr_ww_d	0.006551972515775291
Infin_vrij_d	0.006440908622105462
Alg_bijw_d	0.006312934031874993
Koppelww_d	0.0062669812825039885
Undefined_ww_p	0.005980220918940708
LiNT_score2	0.0058962762430521285
Tijd_bvnw_d	0.005843059288268574
Attr_bijv_nw_d	0.005666605327860056
Alg_nw_rel_sit_d	0.005612464461683339
Alg_ww_d	0.005609927450392919
Gedekte_ww_p	0.005600072189702497
MTLD_inhwrd	0.005555591249124542
Pers_vnw3_d	0.005446297093140644
Samenst_p	0.005425228199375767
LiNT_score1	0.005348676743942449
Zin_per_wrd	0.005328344067383208
Tijd_MTLD	0.005169362537485318
Imp_ellips_d	0.004993176151794279
Conn_reeks_wg_MTLD	0.004960212644582793
Inhwrd_dz_zonder_abw	0.004935229496288897
Ontk_tot_d	0.0049174386361480775
Undefined_ATP_ww_p	0.004869514490566339
Vragen_p	0.004787415566859927
Wrd_per_dz	0.004769899469407471
Huww_tijd_d	0.004664260292003113
Bijw_bep_d	0.004500206752407824
Freq65_Staph	0.0044347214460841
Pv_hzin_per_zin	0.004371552156212685
AL_lidw_znw	0.004262044400896486
Vz_d	0.004166982915731225
Arg_over_vzin_d	0.004033372562222902
PlantDier_nw_p	0.003917035079176223
Spec_positief_bvnw_d	0.0038487321913676493
Pers_nw_p	0.003776401153833503
Vd_vrij_d	0.0036890033818522197
Bijv_bep_d	0.0036661248894017825
Procesww_p	0.0036340615829891848
Freq1000_nsam_nw	0.003525144248215264
Morf_per_wrd	0.003131985883340337
Let_per_wrd_nsam	0.0029476176519471703
Inhwrd_prev_z	0.002862476159341068
Wrd_per_morf_zn	0.00284516818189663
Ww_tt_dz	0.002695273140454761
Fin_bijzin_per_zin	0.002688833404981693
TTR_inhwrd	0.002671928672380578
Conn_MTLD	0.002467922908743831
TTR_inhwrd_zonder_abw	0.0022350911916614925
Int_bw_d	0.0022081874695871057
Vnw_ref_dz	0.0021110411284987027
Lem_freq_zn_log_zonder_abw	0.0020618360306949197
Pv_Frog_d	0.002050536982181236
Ww_mod_d_	0.0020413163488107976
Freq10000	0.0020076878005299797
Gebr_vw_nw_d	0.002005075523088855
Alg_negatief_bvnw_d	0.001989464759845433
Vg_d	0.0019202309010019586
TTR_lem	0.0018440005125741376
Lem_freq_log_zonder_abw	0.0018438910479930237
Freq2000_inhwrd_zonder_abw	0.0016623247024892662
Wrd_per_morf	0.0015220067885282974
Pers_nw_d	0.0015056634690300034
Morf_per_wrd_zn	0.0015055249862030713
Freq3000_inhwrd_zonder_abw	0.0015026574603883443
Bijw_bep_dz_zbijzin	0.0014536429256176082
MTLD_lem	0.001437587503276921
Freq50_staph	0.0013912058398619722
Hzin_conj	0.0013788024532584234
Koppelww_dz	0.0013522415828930404
Pers_vnw1_d	0.0013033440823487547
Form_ww_d	0.0012940309617818333
Plaats_nw_d	0.0012666633936416632
Procesww_d	0.0012551859832054151
Pers_ref_d	0.0012188558720758118
Ov_bijv_bep_d	0.0011515742337640962
Conn_caus_d	0.00113790124011213
Freq20000_nw	0.0011343647379703798
Nw_d	0.0011295374772658758
Abstr_ww_p	0.001127528939819062
Ov_abstr_nw_d	0.0010664258911324495
Tijd_nw_d	0.0010515188737545847
Conn_contr_MTLD	0.0010388329104869649
Freq5000	0.001037116151287088
Conn_reeks_wg_d	0.0010348945101644183
Ontk_zin_d	0.0010184545166318467
Form_d_z_vnw	0.000996070066433889
Alg_ev_bvnw_d	0.0009820917124454588
Gebeuren_conc_nw_d	0.00095177819520065
Lem_over_vzin_dz	0.0009477582126805532
Lidw_d	0.0009453662498857375
Lem_over_vzin_d	0.0009325683165978682
Ontk_tot_dz	0.0009300148099228426
Compl_bijzin_per_zin	0.0009154178612662162
KConj_per_zin	0.0008897707632020205
